"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
24.98,240,64743.44,53429.86,0.8282077158,1,2,59,33
1,204,108740.48,55741.27,0.9835949038,2,2,70,52
24.98,240,59824.04,53438.04,0.7515654955,1,2,78,31
76,108,0,11977.41,0.4178850848,2,2,76,32
24.98,120,48581.86,48418.8,0,2,2,61,0
24.98,180,34846.16,25601.12,0,1,2,71,22
24.98,240,61783.77,64415.59,0.6983166015,1,2,69,43
1,224,0,52279.1,0.7601139123,1,2,86,11
24.98,240,64362.6,74600.23,0.137233223,1,2,70,1
8,150,8170.03,16907.58,0.5086463788,2,2,86,29
34,120,1361.13,13673.03,0,1,2,101,16
24.98,240,83020.45,81086.83,0,1,2,66,4
86,180,9902.43,10936.93,0.0945877865,2,2,115,1
5,120,0,1960.87,1,2,2,114,6
5,120,4146.2,11238.58,0.0358007468,2,2,88,20
24.98,240,29427.82,35634.57,0,1,2,70,22
24.98,180,37768.68,49923.76,0,2,2,88,15
24.98,240,47968.95,67343.42,0.7121876851,1,2,64,45
24.98,156,59052.11,58880.96,0,2,2,61,0
24.98,120,16638.11,15469.37,0,2,2,81,6
24.98,168,7.54,77551.59,1,2,2,58,44
0,120,7227.92,5221.46,0,2,2,93,17
24.98,96,6539.24,17822.72,0,2,2,73,11
24.98,180,2884.97,15826.97,0.7999371629,2,2,65,9
24.98,96,3359.98,25066.16,0,2,2,76,17
45,96,18199.1,29035.12,0.0360127693,2,2,79,4
96,96,4823.57,13861.45,0.62247078,2,2,64,19
24.98,120,11024.45,18052.87,0.0586870943,2,2,89,8
0,120,1037.65,5470.79,0.8103290384,2,2,110,13
3,240,16832.22,21912.3,0.6613816866,1,2,65,34
2,168,5149.08,10477.51,0.5913393339,2,2,71,50
24.98,180,26471.59,42603.05,0.5747218419,2,2,66,40
24.98,168,98944.97,93611.77,0,2,2,79,4
24.98,240,20027.16,22739.68,0,1,2,60,6
94,240,36435.5,37010.04,0,1,2,73,5
24.98,180,20522.89,18550.15,0,1,2,66,7
24.98,132,23966.13,20501.42,0,2,2,76,11
24.98,168,46519.78,51176.53,0,2,2,58,20
24.98,180,16314.04,19032.27,0,2,2,88,12
89,120,0,16580.48,0.359533216,2,2,75,45
24.98,240,46536.31,52208.46,0,1,2,64,15
